iso_origin;iso_dest;dist_eco;dist_capitale;dist_ponderee_pop
AFG;MRT;8455.042;8455.042;8257.594
AFG;MSR;12360.26;12360.26;.
AFG;MTQ;12452.47;12452.47;12354.1
AFG;MUS;6210.945;6210.945;6225.654
AFG;MWI;6565.831;6565.831;6533.963
AFG;MYS;4846.316;4846.316;5078.32
AFG;NAM;8405.997;8405.997;8304.847
AFG;NCL;12033.22;12033.22;12087.35
AFG;NER;7082.385;7082.385;6687.471
AFG;NFK;12536.67;12536.67;12637.61
AFG;NGA;7391.676;6883.021;7004.981
AFG;NIC;14235.58;14235.58;14136.32
AFG;NIU;13997.75;13997.75;14092.16
AFG;NLD;5361.4;5361.4;5264.187
AFG;NOR;5014.602;5014.602;5018.427
AFG;NPL;1710.066;1710.066;1774.077
AFG;NRU;10757.73;10757.73;10847.9
AFG;NZL;13762.0;13762.0;13647.26
AFG;OMN;1587.942;1587.942;1681.851
AFG;PAK;374.6522;374.6522;805.9722
AFG;PAL;3244.844;3244.844;3123.031
AFG;PAN;14179.02;14179.02;14141.72
AFG;PCN;17900.4;17900.4;.
AFG;PER;15811.19;15811.19;15599.55
AFG;PHL;5617.854;5617.854;5863.216
AFG;PLW;7294.72;7294.72;7390.498
AFG;PNG;9528.009;9528.009;9495.276
AFG;POL;4267.977;4267.977;4291.678
AFG;PRI;12479.58;12479.58;12410.97
AFG;PRK;4989.095;4989.095;5114.418
AFG;PRT;6791.342;6791.342;6694.289
AFG;PRY;14862.55;14862.55;14711.02
AFG;PYF;15755.99;15755.99;15826.69
AFG;QAT;1987.925;1987.925;1926.807
AFG;REU;6333.151;6333.151;6359.584
AFG;ROM;3813.935;3813.935;3782.032
AFG;RUS;3367.526;3367.526;3061.364
AFG;RWA;5755.222;5755.222;5715.021
AFG;SAU;2425.437;2425.437;2702.498
AFG;SDN;4222.921;4222.921;4236.656
AFG;SEN;8799.582;8799.582;8659.624
AFG;SGP;5157.892;5157.892;5248.137
AFG;SHN;9691.432;9691.432;9896.133
AFG;SLB;10680.29;10680.29;10742.31
AFG;SLE;8795.566;8795.566;8644.455
AFG;SLV;14203.46;14203.46;14129.15
AFG;SMR;4901.499;4901.499;4813.287
AFG;SOM;4380.182;4380.182;4221.253
AFG;SPM;9474.967;9474.967;9389.558
AFG;STP;7512.917;7512.917;7424.892
AFG;SUR;12679.81;12679.81;12516.17
AFG;SVK;4508.77;4508.77;4289.402
AFG;SVN;4719.426;4719.426;4607.868
AFG;SWE;4597.182;4597.182;4644.212
AFG;SWZ;7872.171;7872.171;7837.531
AFG;SYC;4589.381;4589.381;4587.47
AFG;SYR;3022.602;3022.602;2832.413
AFG;TCA;12522.61;12522.61;12445.24
AFG;TCD;5989.595;5989.595;5855.769
AFG;TGO;7601.833;7601.833;7463.658
AFG;THA;3903.415;3903.415;4011.003
AFG;TJK;459.2474;459.2474;498.4332
AFG;TKL;13214.7;13214.7;13357.65
AFG;TKM;1042.731;1042.731;953.3537
AFG;TMP;7622.778;7622.778;7733.271
AFG;TON;13625.0;13625.0;13716.5
AFG;TTO;12807.0;12807.0;12721.01
AFG;TUN;5252.618;5252.618;5183.574
AFG;TUR;3581.608;3254.253;3249.258
AFG;TUV;12382.26;12382.26;12367.1
AFG;TWN;5105.786;5105.786;5189.499
AFG;TZA;5574.784;5731.842;5617.331
AFG;UGA;5380.85;5380.85;5307.031
AFG;UKR;3580.626;3580.626;3272.287
AFG;URY;15100.65;15100.65;15000.66
AFG;USA;10847.88;11155.07;11626.58
AFG;UZB;751.2709;751.2709;741.451
AFG;VCT;12577.82;12577.82;12487.69
AFG;VEN;13208.57;13208.57;13221.28
AFG;VGB;12377.8;12377.8;12289.68
AFG;VNM;3884.103;3884.103;4505.89
AFG;VUT;11938.98;11938.98;11961.76
AFG;WLF;13094.98;13094.98;13187.55
AFG;WSM;12020.44;12020.44;13613.04
AFG;YEM;3279.877;3279.877;3281.16
AFG;YUG;4258.76;4258.76;4168.198
AFG;ZAF;9273.133;7977.64;8338.339
AFG;ZAR;7100.062;7100.062;6738.451
AFG;ZMB;7048.76;7048.76;6882.723
AFG;ZWE;7088.189;7088.189;7162.382
AGO;ABW;9516.913;9516.913;9587.316
AGO;AFG;7607.8;7607.8;7573.253
AGO;AGO;419.9666;419.9666;295.5981
AGO;AIA;8901.464;8901.464;8998.161
AGO;ALB;5623.827;5623.827;5708.833
AGO;AND;5837.088;5837.088;5958.821
AGO;ANT;9383.188;9383.188;9396.203
AGO;ARE;5805.255;5805.255;5939.362
AGO;ARG;7792.03;7792.03;7977.916
AGO;ARM;6331.346;6331.346;6413.464
AGO;ATG;8746.965;8746.965;8846.354
AGO;AUS;13528.2;13284.23;12954.91
AGO;AUT;6357.017;6357.017;6432.058
AGO;AZE;6643.251;6643.251;6652.02
AGO;BDI;1878.576;1878.576;1905.42
AGO;BEL;6696.229;6696.229;6817.662
AGO;BEN;2071.837;2064.176;2340.251
AGO;BFA;2876.135;2876.135;3026.398
AGO;BGD;9121.098;9121.098;9116.833
AGO;BGR;5822.248;5822.248;5962.843
AGO;BHR;5615.473;5615.473;5649.496
AGO;BHS;10490.61;10490.61;10610.82
AGO;BIH;5888.789;5888.789;6028.429
AGO;BLR;7104.678;7104.678;7185.963
AGO;BLZ;11578.9;11578.9;11631.94
AGO;BMU;9436.543;9436.543;9541.7
AGO;BOL;8830.234;8495.122;8607.54
AGO;BRA;6559.966;6674.706;6440.572
AGO;BRB;8414.008;8414.008;8503.37
AGO;BRN;11386.53;11386.53;11296.04
AGO;BTN;9162.635;9162.635;9167.857
AGO;BWA;2223.578;2223.578;2013.847
AGO;CAF;1586.979;1586.979;1745.579
AGO;CAN;10904.94;10635.11;11627.29
AGO;CCK;9114.437;9114.437;.
AGO;CHE;6235.385;6235.385;6356.838
AGO;CHL;8914.097;8914.097;8947.972
AGO;CHN;11769.51;11769.51;11829.97
AGO;CIV;2480.138;2694.584;2712.49
AGO;CMR;1424.688;1424.688;1787.591
AGO;COG;556.9467;556.9467;681.5906
AGO;COK;16605.09;16605.09;16549.56
AGO;COL;9911.524;9911.524;9982.689
AGO;COM;3301.018;3301.018;3281.956
AGO;CPV;4839.974;4839.974;5054.01
AGO;CRI;10980.7;10980.7;11066.58
AGO;CUB;10977.25;10977.25;10784.01
AGO;CXR;10106.6;10106.6;.
AGO;CYM;10823.14;10823.14;10914.78
AGO;CYP;5332.035;5332.035;5396.996
AGO;CZE;6560.238;6560.238;6653.98
AGO;DEU;6738.352;6830.042;6825.559
AGO;DJI;4015.184;4015.184;4027.681
AGO;DMA;8654.339;8654.339;8747.454
AGO;DNK;7179.064;7179.064;7308.257
AGO;DOM;9602.552;9602.552;9734.701
AGO;DZA;5194.244;5194.244;5223.227
AGO;ECU;10205.4;10205.4;10339.43
AGO;EGY;4736.951;4736.951;4814.249
AGO;ERI;3901.954;3901.954;3958.309
AGO;ESH;4917.631;4917.631;5009.332
